No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
99,6.865959,192.168.0.2,192.168.0.1,COTP,145,0.315491,56667,102,2318,7002,128,"Jan 22, 2024 16:20:48.782315000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
100,6.866441,192.168.0.2,192.168.0.1,COTP,61,0.000482,56667,102,2409,7056,128,"Jan 22, 2024 16:20:48.782797000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
101,6.866731,192.168.0.2,192.168.0.1,COTP,61,0.00029,56667,102,2416,7318,128,"Jan 22, 2024 16:20:48.783087000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
102,7.177779,192.168.0.2,192.168.0.1,COTP,145,0.311048,56667,102,2423,7318,128,"Jan 22, 2024 16:20:49.094135000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
103,7.178386,192.168.0.2,192.168.0.1,COTP,61,0.000607,56667,102,2514,7372,128,"Jan 22, 2024 16:20:49.094742000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
104,7.178799,192.168.0.2,192.168.0.1,COTP,61,0.000413,56667,102,2521,7634,128,"Jan 22, 2024 16:20:49.095155000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
105,7.358694,192.168.0.2,192.168.0.1,COTP,61,0.574543,56665,102,71,1139,128,"Jan 22, 2024 16:20:49.275050000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
106,7.491466,192.168.0.2,192.168.0.1,COTP,145,0.312667,56667,102,2528,7634,128,"Jan 22, 2024 16:20:49.407822000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
107,7.49198,192.168.0.2,192.168.0.1,COTP,61,0.000514,56667,102,2619,7688,128,"Jan 22, 2024 16:20:49.408336000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
108,7.492049,192.168.0.2,192.168.0.1,TCP,54,0.000069,56667,102,2626,7950,128,"Jan 22, 2024 16:20:49.408405000 China Standard Time",,,,,,56667  >  102 [ACK] Seq=2626 Ack=7950 Win=64240 Len=0,Normal
